hotelcode,hotelid,hotelname
144149,S200987,旧軽井沢ＫＩＫＹＯキュリオ・コレクションｂｙヒルトン
144990,S200989,ルグラン軽井沢ホテル＆リゾート
145615,S200991,中央アルプス杜の隠れ宿 季澄香
151744,S201037,かたくらシルクホテル
152309,S201040,ＧＬＡＭＰＲＯＯＫ飯綱高原
152916,S201045,Ｔｈｅ Ｈａｐｐｏ
152961,S201046,Ｍｏｕｎｔａｉｎ Ｓｉｄｅ
152962,S201047,八 ＨＡＣＨＩ
152963,S201048,ＮＩＶＩＡ
152974,S201049,旅館 さかや
152975,S201050,渓流荘 しおり絵
3091,S210002,匠の宿 深山桜庵
3107,S210018,湯元長座
3108,S210019,ひだホテルプラザ
3109,S210020,高山グリーンホテル
3110,S210021,飛騨亭花扇
3111,S210022,ホテルアソシア高山リゾート
3113,S210024,本陣平野屋 花兆庵
3114,S210025,本陣平野屋 別館
3116,S210027,花扇別邸 いいやま
3133,S210044,水明館
3141,S210052,今宵天空に遊ぶ しょうげつ
3159,S210070,都ホテル 岐阜長良川（旧：岐阜都ホテル）
3160,S210071,十八楼
3167,S210078,滝元館 遊季の里
30564,S210093,日本の宿 ひだ高山 倭乃里
68704,S210132,山神温泉 湯乃元館
134503,S210234,平湯温泉 もずも
148544,S210255,ホテル長良川の郷
151052,S210263,ｈｏｔｅｌ ａｒｏｕｎｄ ＴＡＫＡＹＡＭＡ
151326,S210264,隠庵 ひだ路
151344,S210265,寛ぎの舎 游
151632,S210267,八ツ三館
151667,S210268,満天の宿
151728,S210269,ＮＩＰＰＯＮＩＡ美濃商家町
151752,S210271,オーベルジュ玄珠
151801,S210272,ＨＯＴＥＬ ＷＯＯＤ 高山
152754,S210281,懐石宿 水鳳園
152955,S210282,鵜飼楽屋
153196,S210284,メルキュール飛騨高山
3170,S220002,熱海後楽園ホテル
3180,S220012,大観荘
3182,S220014,料亭旅館 熱海 小嵐亭
3206,S220038,青山やまと
3218,S220050,川奈ホテル
3227,S220059,吉祥ＣＡＲＥＮ
3240,S220072,稲取銀水荘
3246,S220078,食べるお宿 浜の湯
3274,S220106,季一遊
3290,S220122,三養荘
3298,S220130,新井旅館
3299,S220131,宙ＳＯＲＡ 渡月荘金龍
3301,S220133,柳生の庄
3340,S220172,日本平ホテル
3358,S220190,オークラアクトシティホテル浜松
5220,S220210,あたみ石亭
48143,S220250,離れ御宿 夢のや
60463,S220315,オーベルジュ ル・タン
70803,S220407,古屋旅館
121683,S220708,伊東 緑涌
149630,S220820,ねの湯 対山荘
150891,S220836,伊東遊季亭 川奈別邸
150892,S220837,伊東遊季亭
150893,S220838,玉峰館
150894,S220839,清流荘
151430,S220842,凪ノ庄
151529,S220843,別邸 そらのうえ
151530,S220844,別邸 ＫＵＲＯ
151534,S220845,ホテルグランバッハ熱海クレッシェンド
151555,S220850,おちあいろう
152004,S220860,真砂館
152816,S220863,浜名湖オーベルジュ キャトルセゾン
3386,S230010,ホテルアークリッシュ豊橋
3398,S230022,天の丸
3400,S230024,銀波荘
3404,S230028,姫宿 花かざし
3416,S230040,名古屋マリオットアソシアホテル
3432,S230056,ヒルトン名古屋
3433,S230057,名古屋観光ホテル
3438,S230062,名古屋東急ホテル
3456,S230080,ＡＮＡクラウンプラザホテルグランコート名古屋
58204,S230161,すず屋 海游亭
78683,S230212,月の渚
81783,S230217,天の丸別邸 風の谷の庵
86664,S230244,蒲郡クラシックホテル
124843,S230305,三井ガーデンホテル名古屋プレミア
127709,S230310,ストリングスホテル名古屋
134403,S230321,名古屋ＪＲゲートタワーホテル
140911,S230330,名古屋プリンスホテル スカイタワー
149185,S230364,ニッコースタイル名古屋
151681,S230386,ＳＨＡＲＥＳ ラグーナ蒲郡
151683,S230387,日間賀観光ホテル
151685,S230388,はづ木
151686,S230389,はづ合掌
152040,S230396,ホテルインディゴ犬山有楽苑
152169,S230402,コートヤード・バイ・マリオット名古屋
3482,S240002,ホテル花水木
3485,S240005,都ホテル 四日市
3510,S240030,メナード青山リゾート和風館雅楽司
3515,S240035,千の杜
3516,S240036,斎王の宮
3531,S240051,旅荘 海の蝶
